flat	crawler	arm	model_params	raw_bpb	int6_sw_bpb	step_ms	bytes	log
9	1	9F_1C	26270292	1.4305	1.41256079	135.12	12665971	grid_2xGPU_1000steps
9	2	9F_2C	30204508	1.4162	1.39777671	160.13	14120875	grid_2xGPU_1000steps
9	3	9F_3C	34138724	1.4147	1.39599212	197.68	15326980	grid_2xGPU_1000steps
9	4	9F_4C	38072940	1.4246	1.40688727	229.37	17058847	grid_2xGPU_1000steps
8	1	8F_1C	23908940	1.4318	1.41418752	133.83	11755973	grid_2xGPU_1000steps
8	2	8F_2C	27843156	1.4238	1.40593232	170.09	13047219	grid_2xGPU_1000steps
8	3	8F_3C	31777372	1.4144	1.39529078	181.43	14577167	grid_2xGPU_1000steps
8	4	8F_4C	35711588	1.4172	1.39823161	220.71	15956902	grid_2xGPU_1000steps
7	1	7F_1C	21547076	1.4375	1.42120022	111.88	10729060	grid_2xGPU_1000steps
7	2	7F_2C	25481292	1.4260	1.40815676	154.98	12275951	grid_2xGPU_1000steps
7	3	7F_3C	29415508	1.4185	1.39910012	175.87	13789616	grid_2xGPU_1000steps
7	4	7F_4C	33349724	1.4148	1.39546665	206.39	15012995	grid_2xGPU_1000steps
6	1	6F_1C	19185724	1.4428	1.42609307	105.41	9753010	grid_2xGPU_1000steps
6	2	6F_2C	23119940	1.4344	1.41689422	144.72	11134712	grid_2xGPU_1000steps
6	3	6F_3C	27054156	1.4270	1.40834301	177.49	12543660	grid_2xGPU_1000steps
6	4	6F_4C	30988372	1.4182	1.39999691	207.06	13896924	grid_2xGPU_1000steps
5	1	5F_1C	16823860	1.4473	1.43142025	91.72	8538072	grid_2xGPU_1000steps
5	2	5F_2C	20758076	1.4320	1.41602906	124.19	9859766	grid_2xGPU_1000steps
