impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
vortex_fused	2	8	2048	128	bf16	0.2753	0.2732	12.7936	12.7902	72.29	20	1		64	8	2	2	1	4	1	5
vortex_fused	2	8	2048	128	bf16	0.2749	0.2724	13.4892	13.4775	72.29	20	1		64	8	2	2	1	2	2	5
vortex_fused	2	8	2048	128	bf16	0.2757	0.2749	13.5256	13.5367	72.29	20	1		64	8	2	2	1	2	1	5
vortex_fused	2	8	2048	128	bf16	0.2798	0.2776	13.4662	13.4548	72.29	20	1		64	8	2	2	1	2	3	5
vortex_fused	2	8	2048	128	bf16	0.2762	0.2746	12.7845	12.7467	72.29	20	1		64	8	2	2	1	4	2	5
vortex_fused	2	8	2048	128	bf16	0.2738	0.2716	12.6649	12.6735	72.29	20	1		64	8	2	2	1	4	3	5
vortex_fused	2	8	2048	128	bf16	0.2727	0.2720	12.8165	12.8255	72.29	20	1		64	8	2	2	1	8	1	5
vortex_fused	2	8	2048	128	bf16	0.2758	0.2734	12.8033	12.7797	72.29	20	1		64	8	2	2	1	8	2	5
vortex_fused	2	8	2048	128	bf16	0.2781	0.2765	12.8593	12.8741	72.29	20	1		64	8	2	2	1	8	3	5
vortex_fused	2	8	2048	128	bf16	0.2727	0.2717	13.0516	13.0360	72.29	20	1		64	8	2	2	2	2	1	5
vortex_fused	2	8	2048	128	bf16	0.2725	0.2719	12.9275	12.9439	72.29	20	1		64	8	2	2	2	2	2	5
vortex_fused	2	8	2048	128	bf16	0.2774	0.2752	12.2728	12.2553	72.29	20	1		64	8	2	2	2	4	1	5
vortex_fused	2	8	2048	128	bf16	0.2769	0.2754	12.8316	12.7992	72.29	20	1		64	8	2	2	2	2	3	5
vortex_fused	2	8	2048	128	bf16	0.2810	0.2797	12.2485	12.2296	72.29	20	1		64	8	2	2	2	4	2	5
vortex_fused	2	8	2048	128	bf16	0.2798	0.2784	12.2514	12.2464	72.29	20	1		64	8	2	2	2	8	3	5
vortex_fused	2	8	2048	128	bf16	0.2834	0.2822	12.1955	12.1593	72.29	20	1		64	8	2	2	2	8	1	5
vortex_fused	2	8	2048	128	bf16	0.2836	0.2832	12.1613	12.1112	72.29	20	1		64	8	2	2	2	8	2	5
vortex_fused	2	8	2048	128	bf16	0.2792	0.2779	12.3572	12.3584	72.29	20	1		64	8	2	2	2	4	3	5
vortex_fused	2	8	2048	128	bf16	0.2796	0.2780	13.1956	13.1737	72.29	20	1		64	8	2	2	3	2	1	5
vortex_fused	2	8	2048	128	bf16	0.2828	0.2810	13.1439	13.1437	72.29	20	1		64	8	2	2	3	2	2	5
vortex_fused	2	8	2048	128	bf16	0.2804	0.2786	12.4905	12.4823	72.29	20	1		64	8	2	2	3	4	1	5
vortex_fused	2	8	2048	128	bf16	0.2816	0.2805	12.5125	12.4556	72.29	20	1		64	8	2	2	3	4	2	5
vortex_fused	2	8	2048	128	bf16	0.2823	0.2819	13.0823	13.0917	72.29	20	1		64	8	2	2	3	2	3	5
