impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_attn_only	4	8	2048	128	bf16	0.1936	0.1951	0.7066	0.7022	192.50	15	1		64	4	1	4	1	4	1	0
sdpa_cudnn_attn_only	4	8	2048	128	bf16	0.1184	0.1183	0.4272	0.4152	160.50	15	1		64	4	1	4	1	4	1	0
sdpa_memeff_attn_only	4	8	2048	128	bf16	0.2898	0.2877	1.3042	1.3006	160.51	15	1		64	4	1	4	1	4	1	0
sdpa_flash_vortex	4	8	2048	128	bf16	0.6769	0.6775	1.9378	1.9363	320.29	15	1		64	4	1	4	1	4	1	0
sdpa_cudnn_vortex	4	8	2048	128	bf16	0.6047	0.6039	1.6447	1.6446	320.29	15	1		64	4	1	4	1	4	1	0
eager_vortex	4	8	2048	128	bf16	3.8033	3.8008	9.9231	9.8976	2276.03	15	1		64	4	1	4	1	4	1	0
vortex_fused	4	8	2048	128	bf16	0.5440	0.5408	5.3216	5.3165	208.45	15	1		64	4	1	4	1	4	1	0
sdpa_flash_attn_only	4	8	2048	128	bf16	0.1910	0.1924	0.7001	0.6984	192.50	15	1		64	4	1	4	1	4	1	1
sdpa_cudnn_attn_only	4	8	2048	128	bf16	0.1150	0.1138	0.4312	0.4161	160.50	15	1		64	4	1	4	1	4	1	1
sdpa_memeff_attn_only	4	8	2048	128	bf16	0.2879	0.2893	1.3025	1.3002	160.51	15	1		64	4	1	4	1	4	1	1
sdpa_flash_vortex	4	8	2048	128	bf16	0.9233	0.9238	2.6924	2.6915	512.35	15	1		64	4	1	4	1	4	1	1
sdpa_cudnn_vortex	4	8	2048	128	bf16	0.8615	0.8542	2.4041	2.3852	512.35	15	1		64	4	1	4	1	4	1	1
eager_vortex	4	8	2048	128	bf16	4.0425	4.0409	10.6180	10.6188	2276.07	15	1		64	4	1	4	1	4	1	1
vortex_fused	4	8	2048	128	bf16	0.5420	0.5435	5.3255	5.3313	208.45	15	1		64	4	1	4	1	4	1	1
sdpa_flash_attn_only	4	8	2048	128	bf16	0.1948	0.1948	0.7100	0.7086	192.50	15	1		64	4	1	4	1	4	1	3
sdpa_cudnn_attn_only	4	8	2048	128	bf16	0.1136	0.1128	0.4159	0.4127	160.50	15	1		64	4	1	4	1	4	1	3
sdpa_memeff_attn_only	4	8	2048	128	bf16	0.2929	0.2916	1.3009	1.3001	160.51	15	1		64	4	1	4	1	4	1	3
sdpa_flash_vortex	4	8	2048	128	bf16	1.4250	1.4159	4.0672	4.0649	768.48	15	1		64	4	1	4	1	4	1	3
sdpa_cudnn_vortex	4	8	2048	128	bf16	1.3414	1.3404	3.7797	3.7817	768.48	15	1		64	4	1	4	1	4	1	3
eager_vortex	4	8	2048	128	bf16	4.5095	4.5075	11.9675	11.9630	2276.07	15	1		64	4	1	4	1	4	1	3
vortex_fused	4	8	2048	128	bf16	0.5389	0.5391	5.3148	5.3147	208.45	15	1		64	4	1	4	1	4	1	3
sdpa_flash_attn_only	4	8	2048	128	bf16	0.1926	0.1912	0.7040	0.7044	192.50	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_attn_only	4	8	2048	128	bf16	0.1151	0.1140	0.4497	0.4511	160.50	15	1		64	4	1	4	1	4	1	5
sdpa_memeff_attn_only	4	8	2048	128	bf16	0.2897	0.2909	1.3104	1.3132	160.51	15	1		64	4	1	4	1	4	1	5
sdpa_flash_vortex	4	8	2048	128	bf16	1.8836	1.8820	5.4195	5.4180	1024.60	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_vortex	4	8	2048	128	bf16	1.8814	1.8811	5.2148	5.2177	1024.60	15	1		64	4	1	4	1	4	1	5
eager_vortex	4	8	2048	128	bf16	4.9909	4.9887	13.3369	13.3301	2276.07	15	1		64	4	1	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.5394	0.5369	5.3042	5.3020	208.45	15	1		64	4	1	4	1	4	1	5
sdpa_flash_attn_only	4	8	2048	128	bf16	0.1917	0.1911	0.6992	0.6999	192.50	15	1		64	4	1	4	1	4	1	7
sdpa_cudnn_attn_only	4	8	2048	128	bf16	0.1140	0.1118	0.4363	0.4390	160.50	15	1		64	4	1	4	1	4	1	7
sdpa_memeff_attn_only	4	8	2048	128	bf16	0.2881	0.2881	1.3091	1.3138	160.51	15	1		64	4	1	4	1	4	1	7
sdpa_flash_vortex	4	8	2048	128	bf16	2.3663	2.3649	6.9778	6.8502	1280.73	15	1		64	4	1	4	1	4	1	7
sdpa_cudnn_vortex	4	8	2048	128	bf16	2.3454	2.3326	6.5327	6.5336	1280.73	15	1		64	4	1	4	1	4	1	7
eager_vortex	4	8	2048	128	bf16	5.4685	5.4666	14.7163	14.7095	2324.47	15	1		64	4	1	4	1	4	1	7
vortex_fused	4	8	2048	128	bf16	0.5402	0.5401	5.2693	5.2669	208.45	15	1		64	4	1	4	1	4	1	7
