impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1258	0.1252	0.4462	0.4443	96.25	20	1		64	4	1	4	1	4	1	0
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0809	0.0801	0.3284	0.3011	80.25	20	1		64	4	1	4	1	4	1	0
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1905	0.1903	0.8425	0.8442	80.25	20	1		64	4	1	4	1	4	1	0
sdpa_flash_vortex	2	8	2048	128	bf16	0.3490	0.3486	1.4594	1.4357	160.16	20	1		64	4	1	4	1	4	1	0
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.3226	0.3210	1.4637	1.4206	160.16	20	1		64	4	1	4	1	4	1	0
eager_vortex	2	8	2048	128	bf16	1.8582	1.8569	4.9021	4.9016	1172.03	20	1		64	4	1	4	1	4	1	0
vortex_fused	2	8	2048	128	bf16	0.1456	0.1466	2.1923	2.2088	136.26	20	1		64	4	1	4	1	4	1	0
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1272	0.1261	0.4475	0.4452	96.25	20	1		64	4	1	4	1	4	1	1
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0800	0.0800	0.3288	0.3068	80.25	20	1		64	4	1	4	1	4	1	1
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1776	0.1778	0.8101	0.8095	80.25	20	1		64	4	1	4	1	4	1	1
sdpa_flash_vortex	2	8	2048	128	bf16	0.4744	0.4740	1.9415	2.0485	288.22	20	1		64	4	1	4	1	4	1	1
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.4680	0.4669	2.2513	2.1578	288.22	20	1		64	4	1	4	1	4	1	1
eager_vortex	2	8	2048	128	bf16	1.9824	1.9815	5.3010	5.3072	1172.07	20	1		64	4	1	4	1	4	1	1
vortex_fused	2	8	2048	128	bf16	0.1824	0.1844	2.6360	2.6133	136.26	20	1		64	4	1	4	1	4	1	1
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1237	0.1224	0.4455	0.4430	96.25	20	1		64	4	1	4	1	4	1	3
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0798	0.0791	0.2966	0.2916	80.25	20	1		64	4	1	4	1	4	1	3
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1786	0.1784	0.8097	0.8097	80.25	20	1		64	4	1	4	1	4	1	3
sdpa_flash_vortex	2	8	2048	128	bf16	0.7051	0.7052	2.2249	2.2622	416.35	20	1		64	4	1	4	1	4	1	3
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.6999	0.7003	2.4933	2.5194	416.35	20	1		64	4	1	4	1	4	1	3
eager_vortex	2	8	2048	128	bf16	2.2211	2.2142	5.9978	5.9972	1172.07	20	1		64	4	1	4	1	4	1	3
vortex_fused	2	8	2048	128	bf16	0.2386	0.2390	3.1001	3.0793	136.26	20	1		64	4	1	4	1	4	1	3
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1272	0.1265	0.4464	0.4459	96.25	20	1		64	4	1	4	1	4	1	5
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0813	0.0803	0.3140	0.2936	80.25	20	1		64	4	1	4	1	4	1	5
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1788	0.1778	0.8102	0.8099	80.25	20	1		64	4	1	4	1	4	1	5
sdpa_flash_vortex	2	8	2048	128	bf16	0.9441	0.9443	2.9274	2.9292	544.47	20	1		64	4	1	4	1	4	1	5
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.9074	0.8976	2.7278	2.7293	544.47	20	1		64	4	1	4	1	4	1	5
eager_vortex	2	8	2048	128	bf16	2.4473	2.4468	6.7590	6.7535	1172.07	20	1		64	4	1	4	1	4	1	5
vortex_fused	2	8	2048	128	bf16	0.2784	0.2779	3.9299	3.9193	136.26	20	1		64	4	1	4	1	4	1	5
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1284	0.1272	0.4471	0.4464	96.25	20	1		64	4	1	4	1	4	1	7
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0805	0.0795	0.3211	0.2944	80.25	20	1		64	4	1	4	1	4	1	7
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1789	0.1793	0.8133	0.8120	80.25	20	1		64	4	1	4	1	4	1	7
sdpa_flash_vortex	2	8	2048	128	bf16	1.1679	1.1672	3.7352	3.6150	672.60	20	1		64	4	1	4	1	4	1	7
sdpa_cudnn_vortex	2	8	2048	128	bf16	1.1475	1.1608	4.1048	4.0036	672.60	20	1		64	4	1	4	1	4	1	7
eager_vortex	2	8	2048	128	bf16	2.6827	2.6745	7.4170	7.4156	1196.47	20	1		64	4	1	4	1	4	1	7
vortex_fused	2	8	2048	128	bf16	0.3168	0.3157	4.3125	4.2960	136.26	20	1		64	4	1	4	1	4	1	7
