impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_attn_only	4	8	512	128	bf16	0.0460	0.0442	0.1893	0.1853	48.13	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_attn_only	4	8	512	128	bf16	0.0487	0.0463	0.2284	0.2438	40.13	15	1		64	4	1	4	1	4	1	5
sdpa_memeff_attn_only	4	8	512	128	bf16	0.0490	0.0482	0.2397	0.2398	40.13	15	1		64	4	1	4	1	4	1	5
sdpa_flash_vortex	4	8	512	128	bf16	0.5158	0.5143	2.4776	2.5605	304.41	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_vortex	4	8	512	128	bf16	0.6596	0.7467	3.2645	3.3835	304.41	15	1		64	4	1	4	1	4	1	5
eager_vortex	4	8	512	128	bf16	0.7208	0.7211	4.4650	4.4533	372.60	15	1		64	4	1	4	1	4	1	5
vortex_fused	4	8	512	128	bf16	0.1462	0.1422	1.2294	1.2142	100.20	15	1		64	4	1	4	1	4	1	5
sdpa_flash_attn_only	4	8	1024	128	bf16	0.0789	0.0778	0.2956	0.2945	96.25	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_attn_only	4	8	1024	128	bf16	0.0602	0.0592	0.2826	0.2966	80.25	15	1		64	4	1	4	1	4	1	5
sdpa_memeff_attn_only	4	8	1024	128	bf16	0.1084	0.1078	0.5093	0.5122	80.25	15	1		64	4	1	4	1	4	1	5
sdpa_flash_vortex	4	8	1024	128	bf16	0.8888	0.8898	3.1668	3.1629	544.47	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_vortex	4	8	1024	128	bf16	0.9335	0.9320	3.3671	3.3039	544.47	15	1		64	4	1	4	1	4	1	5
eager_vortex	4	8	1024	128	bf16	1.6621	1.6604	5.0072	4.8815	809.35	15	1		64	4	1	4	1	4	1	5
vortex_fused	4	8	1024	128	bf16	0.2778	0.2779	2.5791	2.5674	136.27	15	1		64	4	1	4	1	4	1	5
sdpa_flash_attn_only	4	8	2048	128	bf16	0.1891	0.1883	0.7188	0.7187	192.50	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_attn_only	4	8	2048	128	bf16	0.1137	0.1125	0.4181	0.4119	160.50	15	1		64	4	1	4	1	4	1	5
sdpa_memeff_attn_only	4	8	2048	128	bf16	0.2822	0.2827	1.3281	1.3227	160.51	15	1		64	4	1	4	1	4	1	5
sdpa_flash_vortex	4	8	2048	128	bf16	1.8928	1.8924	5.4843	5.4764	1024.60	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_vortex	4	8	2048	128	bf16	1.8379	1.8287	5.1656	5.1648	1024.60	15	1		64	4	1	4	1	4	1	5
eager_vortex	4	8	2048	128	bf16	4.9946	4.9933	13.3551	13.3567	2276.07	15	1		64	4	1	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.5383	0.5368	5.3285	5.3231	208.45	15	1		64	4	1	4	1	4	1	5
sdpa_flash_attn_only	4	8	4096	128	bf16	0.5263	0.5254	2.0111	2.0098	385.00	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_attn_only	4	8	4096	128	bf16	0.2881	0.2865	1.1030	1.0926	321.00	15	1		64	4	1	4	1	4	1	5
sdpa_memeff_attn_only	4	8	4096	128	bf16	0.9148	0.9134	4.1168	4.1171	321.02	15	1		64	4	1	4	1	4	1	5
sdpa_flash_vortex	4	8	4096	128	bf16	3.7504	3.7487	10.9171	10.9136	1984.85	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_vortex	4	8	4096	128	bf16	3.5275	3.5258	9.9842	9.9788	1984.85	15	1		64	4	1	4	1	4	1	5
eager_vortex	4	8	4096	128	bf16	16.7145	16.3790	49.3581	49.5091	8592.07	15	1		64	4	1	4	1	4	1	5
vortex_fused	4	8	4096	128	bf16	1.1932	1.1896	12.6955	12.7200	352.89	15	1		64	4	1	4	1	4	1	5
sdpa_flash_attn_only	4	8	8192	128	bf16	1.7295	1.7298	6.6620	6.6522	770.00	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_attn_only	4	8	8192	128	bf16	0.9452	0.9459	3.7391	3.7684	643.00	15	1		64	4	1	4	1	4	1	5
sdpa_memeff_attn_only	4	8	8192	128	bf16	3.7127	3.5154	19.0701	19.2580	642.03	15	1		64	4	1	4	1	4	1	5
sdpa_flash_vortex	4	8	8192	128	bf16	8.5574	8.5869	35.3819	35.3454	3905.35	15	1		64	4	1	4	1	4	1	5
sdpa_cudnn_vortex	4	8	8192	128	bf16	10.6696	10.6140	28.8468	28.9290	3905.35	15	1		64	4	1	4	1	4	1	5
eager_vortex	4	8	8192	128	bf16	80.4480	80.1631	229.4939	225.3224	33536.07	15	1		64	4	1	4	1	4	1	5
vortex_fused	4	8	8192	128	bf16	3.0419	3.0404	34.2213	34.2454	642.15	15	1		64	4	1	4	1	4	1	5
