impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_attn_only	2	8	512	128	bf16	0.0557	0.0532	0.1996	0.1975	24.06	20	1		128	8	2	8	1	8	2	0
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0472	0.0450	0.2648	0.1903	20.06	20	1		128	8	2	8	1	8	2	0
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0393	0.0383	0.2198	0.2196	20.06	20	1		128	8	2	8	1	8	2	0
sdpa_flash_vortex	2	8	512	128	bf16	0.1697	0.1671	1.1268	1.1032	40.07	20	1		128	8	2	8	1	8	2	0
sdpa_cudnn_vortex	2	8	512	128	bf16	0.2434	0.2854	1.2616	1.2362	40.07	20	1		128	8	2	8	1	8	2	0
eager_vortex	2	8	512	128	bf16	0.2540	0.2522	1.8614	1.8808	148.28	20	1		128	8	2	8	1	8	2	0
vortex_fused	2	8	512	128	bf16	0.0658	0.0647	0.5443	0.5336	82.16	20	1		128	8	2	8	1	8	2	0
sdpa_flash_attn_only	2	8	512	128	bf16	0.0490	0.0470	0.1947	0.1922	24.06	20	1		128	8	2	8	1	8	2	1
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0518	0.0497	0.2452	0.2538	20.06	20	1		128	8	2	8	1	8	2	1
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0392	0.0386	0.2166	0.2163	20.06	20	1		128	8	2	8	1	8	2	1
sdpa_flash_vortex	2	8	512	128	bf16	0.2543	0.2545	1.0427	1.0148	120.13	20	1		128	8	2	8	1	8	2	1
sdpa_cudnn_vortex	2	8	512	128	bf16	0.2624	0.2619	1.3281	1.3223	120.13	20	1		128	8	2	8	1	8	2	1
eager_vortex	2	8	512	128	bf16	0.3154	0.3132	2.2852	2.3260	154.35	20	1		128	8	2	8	1	8	2	1
vortex_fused	2	8	512	128	bf16	0.0821	0.0811	0.6507	0.6460	82.16	20	1		128	8	2	8	1	8	2	1
sdpa_flash_attn_only	2	8	512	128	bf16	0.0501	0.0479	0.1979	0.1952	24.06	20	1		128	8	2	8	1	8	2	3
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0477	0.0460	0.2171	0.1933	20.06	20	1		128	8	2	8	1	8	2	3
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0397	0.0391	0.2188	0.2182	20.06	20	1		128	8	2	8	1	8	2	3
sdpa_flash_vortex	2	8	512	128	bf16	0.3548	0.3509	1.7788	1.7130	152.25	20	1		128	8	2	8	1	8	2	3
sdpa_cudnn_vortex	2	8	512	128	bf16	0.4590	0.3719	2.5026	2.5780	152.25	20	1		128	8	2	8	1	8	2	3
eager_vortex	2	8	512	128	bf16	0.4138	0.4114	3.5570	3.5513	186.47	20	1		128	8	2	8	1	8	2	3
vortex_fused	2	8	512	128	bf16	0.0929	0.0912	0.8005	0.7953	82.16	20	1		128	8	2	8	1	8	2	3
sdpa_flash_attn_only	2	8	512	128	bf16	0.0656	0.0631	0.1989	0.1949	24.06	20	1		128	8	2	8	1	8	2	5
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0500	0.0480	0.2241	0.1885	20.06	20	1		128	8	2	8	1	8	2	5
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0403	0.0400	0.2589	0.2657	20.06	20	1		128	8	2	8	1	8	2	5
sdpa_flash_vortex	2	8	512	128	bf16	0.4573	0.4562	3.1821	3.2373	184.38	20	1		128	8	2	8	1	8	2	5
sdpa_cudnn_vortex	2	8	512	128	bf16	0.7446	0.7410	3.4333	3.3457	184.38	20	1		128	8	2	8	1	8	2	5
eager_vortex	2	8	512	128	bf16	0.5157	0.5137	4.5428	4.5842	218.60	20	1		128	8	2	8	1	8	2	5
vortex_fused	2	8	512	128	bf16	0.1079	0.1060	1.1266	1.1097	82.16	20	1		128	8	2	8	1	8	2	5
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0599	0.0587	0.2180	0.2160	48.13	20	1		128	8	2	8	1	8	2	0
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0490	0.0469	0.1952	0.1899	40.13	20	1		128	8	2	8	1	8	2	0
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0751	0.0737	0.3507	0.3587	40.13	20	1		128	8	2	8	1	8	2	0
sdpa_flash_vortex	2	8	1024	128	bf16	0.1731	0.1722	0.8993	0.8616	80.10	20	1		128	8	2	8	1	8	2	0
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.1864	0.1780	1.1737	1.2211	80.10	20	1		128	8	2	8	1	8	2	0
eager_vortex	2	8	1024	128	bf16	0.5974	0.5976	1.9321	1.9907	361.03	20	1		128	8	2	8	1	8	2	0
vortex_fused	2	8	1024	128	bf16	0.0757	0.0747	0.6848	0.6582	100.20	20	1		128	8	2	8	1	8	2	0
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0591	0.0576	0.2228	0.2203	48.13	20	1		128	8	2	8	1	8	2	1
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0504	0.0498	0.2004	0.1926	40.13	20	1		128	8	2	8	1	8	2	1
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0750	0.0745	0.3121	0.3118	40.13	20	1		128	8	2	8	1	8	2	1
sdpa_flash_vortex	2	8	1024	128	bf16	0.2515	0.2507	1.0032	0.9972	176.16	20	1		128	8	2	8	1	8	2	1
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.2656	0.2634	1.0311	1.0226	176.16	20	1		128	8	2	8	1	8	2	1
eager_vortex	2	8	1024	128	bf16	0.6676	0.6678	1.8321	1.8350	361.07	20	1		128	8	2	8	1	8	2	1
vortex_fused	2	8	1024	128	bf16	0.0877	0.0873	0.7363	0.7350	100.20	20	1		128	8	2	8	1	8	2	1
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0596	0.0588	0.2231	0.2215	48.13	20	1		128	8	2	8	1	8	2	3
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0489	0.0472	0.2062	0.1940	40.13	20	1		128	8	2	8	1	8	2	3
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0745	0.0739	0.3125	0.3117	40.13	20	1		128	8	2	8	1	8	2	3
sdpa_flash_vortex	2	8	1024	128	bf16	0.3802	0.3802	1.5997	1.6076	240.29	20	1		128	8	2	8	1	8	2	3
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.3915	0.3905	1.6101	1.6096	240.29	20	1		128	8	2	8	1	8	2	3
eager_vortex	2	8	1024	128	bf16	0.8047	0.8036	2.3191	2.3251	373.22	20	1		128	8	2	8	1	8	2	3
vortex_fused	2	8	1024	128	bf16	0.1137	0.1136	0.9969	0.9893	100.20	20	1		128	8	2	8	1	8	2	3
sdpa_flash_attn_only	2	8	512	128	bf16	0.0486	0.0466	0.1915	0.1896	24.06	20	1		128	8	2	8	1	8	2	7
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0472	0.0453	0.1899	0.1829	20.06	20	1		128	8	2	8	1	8	2	7
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0395	0.0389	0.2155	0.2146	20.06	20	1		128	8	2	8	1	8	2	7
