impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_attn_only	2	8	512	128	bf16	0.0505	0.0483	0.2021	0.1999	24.06	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0494	0.0467	0.2163	0.2004	20.06	15	1		128	8	2	8	1	8	3	0
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0399	0.0388	0.2241	0.2223	20.06	15	1		128	8	2	8	1	8	3	0
sdpa_flash_vortex	2	8	512	128	bf16	0.1798	0.1784	0.8419	0.8589	40.07	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_vortex	2	8	512	128	bf16	0.1856	0.1831	0.8749	0.8729	40.07	15	1		128	8	2	8	1	8	3	0
eager_vortex	2	8	512	128	bf16	0.2588	0.2570	1.7326	1.7842	148.28	15	1		128	8	2	8	1	8	3	0
vortex_fused	2	8	512	128	bf16	0.0798	0.0791	0.5317	0.5196	86.20	15	1		128	8	2	8	1	8	3	0
sdpa_flash_attn_only	2	8	512	128	bf16	0.0502	0.0474	0.2068	0.1997	24.06	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0566	0.0536	0.2900	0.2761	20.06	15	1		128	8	2	8	1	8	3	1
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0402	0.0394	0.2218	0.2215	20.06	15	1		128	8	2	8	1	8	3	1
sdpa_flash_vortex	2	8	512	128	bf16	0.2561	0.2538	1.0297	1.0226	120.13	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_vortex	2	8	512	128	bf16	0.2645	0.2632	1.0511	1.0406	120.13	15	1		128	8	2	8	1	8	3	1
eager_vortex	2	8	512	128	bf16	0.3167	0.3144	1.2613	1.2560	154.35	15	1		128	8	2	8	1	8	3	1
vortex_fused	2	8	512	128	bf16	0.0986	0.0980	0.6988	0.6993	86.20	15	1		128	8	2	8	1	8	3	1
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0594	0.0574	0.2266	0.2231	48.13	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0509	0.0495	0.1991	0.1938	40.13	15	1		128	8	2	8	1	8	3	0
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0759	0.0750	0.3133	0.3124	40.13	15	1		128	8	2	8	1	8	3	0
sdpa_flash_vortex	2	8	1024	128	bf16	0.1735	0.1730	0.8549	0.8510	80.10	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.1819	0.1804	0.8703	0.8676	80.10	15	1		128	8	2	8	1	8	3	0
eager_vortex	2	8	1024	128	bf16	0.5978	0.5962	1.9114	1.9606	361.03	15	1		128	8	2	8	1	8	3	0
vortex_fused	2	8	1024	128	bf16	0.0890	0.0881	0.6225	0.6157	108.26	15	1		128	8	2	8	1	8	3	0
sdpa_flash_attn_only	2	8	512	128	bf16	0.0508	0.0496	0.2050	0.2012	24.06	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0490	0.0468	0.1978	0.1908	20.06	15	1		128	8	2	8	1	8	3	3
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0413	0.0395	0.2224	0.2221	20.06	15	1		128	8	2	8	1	8	3	3
sdpa_flash_vortex	2	8	512	128	bf16	0.3583	0.3549	2.1846	2.2349	152.25	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_vortex	2	8	512	128	bf16	0.3639	0.3631	2.2215	2.2359	152.25	15	1		128	8	2	8	1	8	3	3
