impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_attn_only	2	8	512	128	bf16	0.0494	0.0472	0.1958	0.1942	24.06	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0456	0.0439	0.2889	0.2573	20.06	20	1		128	8	3	8	1	8	3	0
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0830	0.0801	0.4179	0.4191	20.06	20	1		128	8	3	8	1	8	3	0
sdpa_flash_vortex	2	8	512	128	bf16	0.1711	0.1695	1.4571	1.4701	40.07	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_vortex	2	8	512	128	bf16	0.2992	0.2819	1.7228	1.7334	40.07	20	1		128	8	3	8	1	8	3	0
eager_vortex	2	8	512	128	bf16	0.2572	0.2550	1.7474	1.6916	148.28	20	1		128	8	3	8	1	8	3	0
vortex_fused	2	8	512	128	bf16	0.0811	0.0793	0.7182	0.7348	86.20	20	1		128	8	3	8	1	8	3	0
sdpa_flash_attn_only	2	8	512	128	bf16	0.0485	0.0464	0.1912	0.1880	24.06	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0470	0.0453	0.1851	0.1844	20.06	20	1		128	8	3	8	1	8	3	1
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0389	0.0380	0.2149	0.2143	20.06	20	1		128	8	3	8	1	8	3	1
sdpa_flash_vortex	2	8	512	128	bf16	0.2489	0.2481	1.1082	1.0195	120.13	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_vortex	2	8	512	128	bf16	0.2580	0.2565	1.3932	1.3812	120.13	20	1		128	8	3	8	1	8	3	1
eager_vortex	2	8	512	128	bf16	0.3140	0.3108	2.2667	2.3166	154.35	20	1		128	8	3	8	1	8	3	1
vortex_fused	2	8	512	128	bf16	0.0939	0.0919	0.6609	0.6594	86.20	20	1		128	8	3	8	1	8	3	1
sdpa_flash_attn_only	2	8	512	128	bf16	0.0479	0.0463	0.1954	0.1931	24.06	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0464	0.0439	0.1846	0.1834	20.06	20	1		128	8	3	8	1	8	3	3
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0390	0.0384	0.2178	0.2170	20.06	20	1		128	8	3	8	1	8	3	3
sdpa_flash_vortex	2	8	512	128	bf16	0.3540	0.3530	1.5895	1.6068	152.25	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_vortex	2	8	512	128	bf16	0.3873	0.3674	1.8144	1.8061	152.25	20	1		128	8	3	8	1	8	3	3
eager_vortex	2	8	512	128	bf16	0.4150	0.4132	1.7813	1.7818	186.47	20	1		128	8	3	8	1	8	3	3
vortex_fused	2	8	512	128	bf16	0.1055	0.1045	0.7410	0.7383	86.20	20	1		128	8	3	8	1	8	3	3
sdpa_flash_attn_only	2	8	512	128	bf16	0.0488	0.0465	0.1919	0.1925	24.06	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0478	0.0459	0.2002	0.1823	20.06	20	1		128	8	3	8	1	8	3	5
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0398	0.0394	0.2243	0.2194	20.06	20	1		128	8	3	8	1	8	3	5
sdpa_flash_vortex	2	8	512	128	bf16	0.4532	0.4523	2.3737	2.4653	184.38	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_vortex	2	8	512	128	bf16	0.5421	0.4578	3.3877	3.3533	184.38	20	1		128	8	3	8	1	8	3	5
